brand; type;sku;name;in_stock;36_months;24_months;12_months;price;description
Apple;Mobile phones;MD1Q4QN/A;Apple iPhone 16e 5G, 128 Gt, Musta;Over 100 pcs;14,31;21,46;42,92;515;Apple Apple iPhone 16e 5G, Musta, Gt, storage, high-speed 5G connectivity.
Apple;Mobile phones;MD1R4QN/A;Apple iPhone 16e 5G, 128 Gt, Valkoinen;Over 100 pcs;14,31;21,46;42,92;515;Apple Apple iPhone 16e 5G, Valkoinen, Gt, storage, high-speed 5G connectivity.
Apple;Mobile phones;MD1T4QN/A;Apple iPhone 16e 5G, 256 Gt, Musta;0 pcs;17,25;25,88;51,75;621;Apple Apple iPhone 16e 5G, Musta, Gt, storage, high-speed 5G connectivity.
Apple;Mobile phones;MD1W4QN/A;Apple iPhone 16e 5G, 256 Gt, Valkoinen;0 pcs;17,25;25,88;51,75;621;Apple Apple iPhone 16e 5G, Valkoinen, Gt, storage, high-speed 5G connectivity.
Apple;Mobile phones;MTP03QN/A;Apple iPhone 15 5G, 128 Gt, Musta;Over 100 pcs;16,64;24,96;49,92;599;Apple Apple iPhone 15 5G, Musta, Gt, storage, high-speed 5G connectivity.
Apple;Mobile phones;MTP13QN/A;Apple iPhone 15 5G, 128 Gt, Pinkki;Over 100 pcs;16,64;24,96;49,92;599;Apple Apple iPhone 15 5G, Pinkki, Gt, storage, high-speed 5G connectivity.
Apple;Mobile phones;MTP43QN/A;Apple iPhone 15 5G, 128 Gt, Sininen;Over 100 pcs;16,64;24,96;49,92;599;Apple Apple iPhone 15 5G, Sininen, Gt, storage, high-speed 5G connectivity.
Apple;Mobile phones;MTP53QN/A;Apple iPhone 15 5G, 128 Gt, Vihreä;Over 100 pcs;16,64;24,96;49,92;599;Apple Apple iPhone 15 5G, Vihreä, Gt, storage, high-speed 5G connectivity.
Apple;Mobile phones;MU0Y3QN/A;Apple iPhone 15 Plus 5G, 128 Gt, Musta;Over 100 pcs;18,69;28,04;56,08;673;Apple Apple iPhone 15 Plus 5G, Musta, Gt, storage, high-speed 5G connectivity.
Apple;Mobile phones;MXVU3QN/A;Apple iPhone 16 Plus 5G, 128 Gt, Musta;Over 50 pcs;22;33;66;792;Apple Apple iPhone 16 Plus 5G, Musta, Gt, storage, high-speed 5G connectivity.
Apple;Mobile phones;MXVV3QN/A;Apple iPhone 16 Plus 5G, 128 Gt, Valkoinen;Over 10 pcs;22;33;66;792;Apple Apple iPhone 16 Plus 5G, Valkoinen, Gt, storage, high-speed 5G connectivity.
Apple;Mobile phones;MXVW3QN/A;Apple iPhone 16 Plus 5G, 128 Gt, Pinkki;Over 25 pcs;22;33;66;792;Apple Apple iPhone 16 Plus 5G, Pinkki, Gt, storage, high-speed 5G connectivity.
Apple;Mobile phones;MXVX3QN/A;Apple iPhone 16 Plus 5G, 128 Gt, Ultramariini;Over 25 pcs;22;33;66;792;Apple Apple iPhone 16 Plus 5G, Ultramariini, Gt, storage, high-speed 5G connectivity.
Apple;Mobile phones;MXVY3QN/A;Apple iPhone 16 Plus 5G, 128 Gt, Sinivihreä;Over 10 pcs;22;33;66;792;Apple Apple iPhone 16 Plus 5G, Sinivihreä, Gt, storage, high-speed 5G connectivity.
Apple;Mobile phones;MXWN3QN/A;Apple iPhone 16 Plus 5G, 256 Gt, Musta;Over 25 pcs;24,89;37,33;74,67;896;Apple Apple iPhone 16 Plus 5G, Musta, Gt, storage, high-speed 5G connectivity.
Apple;Mobile phones;MXWV3QN/A;Apple iPhone 16 Plus 5G, 256 Gt, Valkoinen;8 pcs;24,89;37,33;74,67;896;Apple Apple iPhone 16 Plus 5G, Valkoinen, Gt, storage, high-speed 5G connectivity.
Apple;Mobile phones;MXY13QN/A;Apple iPhone 16 Plus 5G, 256 Gt, Pinkki;Over 10 pcs;24,89;37,33;74,67;896;Apple Apple iPhone 16 Plus 5G, Pinkki, Gt, storage, high-speed 5G connectivity.
Apple;Mobile phones;MXY23QN/A;Apple iPhone 16 Plus 5G, 256 Gt, Ultramariini;Over 10 pcs;24,89;37,33;74,67;896;Apple Apple iPhone 16 Plus 5G, Ultramariini, Gt, storage, high-speed 5G connectivity.
Apple;Mobile phones;MXY53QN/A;Apple iPhone 16 Plus 5G, 256 Gt, Sinivihreä;Over 10 pcs;24,89;37,33;74,67;896;Apple Apple iPhone 16 Plus 5G, Sinivihreä, Gt, storage, high-speed 5G connectivity.
Apple;Mobile phones;MYE73QN/A;Apple iPhone 16 5G, 128 Gt, Musta;Over 10 pcs;18,78;28,17;56,33;676;Apple Apple iPhone 16 5G, Musta, Gt, storage, high-speed 5G connectivity.
Apple;Mobile phones;MYE93QN/A;Apple iPhone 16 5G, 128 Gt, Valkoinen;Over 50 pcs;18,78;28,17;56,33;676;Apple Apple iPhone 16 5G, Valkoinen, Gt, storage, high-speed 5G connectivity.
Apple;Mobile phones;MYEA3QN/A;Apple iPhone 16 5G, 128 Gt, Pinkki;Over 50 pcs;18,78;28,17;56,33;676;Apple Apple iPhone 16 5G, Pinkki, Gt, storage, high-speed 5G connectivity.
Apple;Mobile phones;MYEC3QN/A;Apple iPhone 16 5G, 128 Gt, Ultramariini;Over 50 pcs;18,78;28,17;56,33;676;Apple Apple iPhone 16 5G, Ultramariini, Gt, storage, high-speed 5G connectivity.
Apple;Mobile phones;MYED3QN/A;Apple iPhone 16 5G, 128 Gt, Sinivihreä;Over 10 pcs;18,78;28,17;56,33;676;Apple Apple iPhone 16 5G, Sinivihreä, Gt, storage, high-speed 5G connectivity.
Apple;Mobile phones;MYEE3QN/A;Apple iPhone 16 5G, 256 Gt, Musta;Over 10 pcs;21,72;32,58;65,17;782;Apple Apple iPhone 16 5G, Musta, Gt, storage, high-speed 5G connectivity.
Apple;Mobile phones;MYEF3QN/A;Apple iPhone 16 5G, 256 Gt, Valkoinen;Over 50 pcs;21,72;32,58;65,17;782;Apple Apple iPhone 16 5G, Valkoinen, Gt, storage, high-speed 5G connectivity.
Apple;Mobile phones;MYEG3QN/A;Apple iPhone 16 5G, 256 Gt, Pinkki;Over 50 pcs;21,72;32,58;65,17;782;Apple Apple iPhone 16 5G, Pinkki, Gt, storage, high-speed 5G connectivity.
Apple;Mobile phones;MYEH3QN/A;Apple iPhone 16 5G, 256 Gt, Ultramariini;Over 25 pcs;21,72;32,58;65,17;782;Apple Apple iPhone 16 5G, Ultramariini, Gt, storage, high-speed 5G connectivity.
Apple;Mobile phones;MYEJ3QN/A;Apple iPhone 16 5G, 256 Gt, Sinivihreä;Over 50 pcs;21,72;32,58;65,17;782;Apple Apple iPhone 16 5G, Sinivihreä, Gt, storage, high-speed 5G connectivity.
Apple;Mobile phones;MYEK3QN/A;Apple iPhone 16 5G, 512 Gt, Musta;Over 10 pcs;27,19;40,79;81,58;979;Apple Apple iPhone 16 5G, Musta, Gt, storage, high-speed 5G connectivity.
Apple;Mobile phones;MYEP3QN/A;Apple iPhone 16 5G, 512 Gt, Valkoinen;Over 10 pcs;27,19;40,79;81,58;979;Apple Apple iPhone 16 5G, Valkoinen, Gt, storage, high-speed 5G connectivity.
Apple;Mobile phones;MYEQ3QN/A;Apple iPhone 16 5G, 512 Gt, Pinkki;Over 25 pcs;27,19;40,79;81,58;979;Apple Apple iPhone 16 5G, Pinkki, Gt, storage, high-speed 5G connectivity.
Apple;Mobile phones;MYER3QN/A;Apple iPhone 16 5G, 512 Gt, Ultramariini;9 pcs;27,19;40,79;81,58;979;Apple Apple iPhone 16 5G, Ultramariini, Gt, storage, high-speed 5G connectivity.
Apple;Mobile phones;MYEU3QN/A;Apple iPhone 16 5G, 512 Gt, Sinivihreä;2 pcs;27,19;40,79;81,58;979;Apple Apple iPhone 16 5G, Sinivihreä, Gt, storage, high-speed 5G connectivity.
